value,Date
548,1/22/2020
643,1/23/2020
920,1/24/2020
1406,1/25/2020
2075,1/26/2020
2877,1/27/2020
5509,1/28/2020
6087,1/29/2020
8141,1/30/2020
9802,1/31/2020
11891,2/1/2020
16630,2/2/2020
19716,2/3/2020
23707,2/4/2020
27440,2/5/2020
30587,2/6/2020
34110,2/7/2020
36814,2/8/2020
39829,2/9/2020
42354,2/10/2020
44386,2/11/2020
44759,2/12/2020
59895,2/13/2020
66358,2/14/2020
68413,2/15/2020
70513,2/16/2020
72434,2/17/2020
74211,2/18/2020
74619,2/19/2020
75077,2/20/2020
75550,2/21/2020
77001,2/22/2020
77022,2/23/2020
77241,2/24/2020
77754,2/25/2020
78166,2/26/2020
78600,2/27/2020
78928,2/28/2020
79356,2/29/2020
79932,3/1/2020
80136,3/2/2020
80261,3/3/2020
80386,3/4/2020
80537,3/5/2020
80690,3/6/2020
80770,3/7/2020
80823,3/8/2020
80860,3/9/2020
80887,3/10/2020
80921,3/11/2020
80932,3/12/2020
80945,3/13/2020
80977,3/14/2020
81003,3/15/2020
81033,3/16/2020
81058,3/17/2020
81102,3/18/2020
81156,3/19/2020
81250,3/20/2020
81305,3/21/2020
81435,3/22/2020
81498,3/23/2020
81591,3/24/2020
81661,3/25/2020
81782,3/26/2020
81897,3/27/2020
