,index,date,location,new_cases,new_deaths,total_cases,total_deaths
0,0,2020-02-12,Thailand,1,0,33,0
1,1,2020-02-13,Thailand,0,0,33,0
2,2,2020-02-14,Thailand,0,0,33,0
3,3,2020-02-15,Thailand,1,0,34,0
4,4,2020-02-16,Thailand,0,0,34,0
5,5,2020-02-17,Thailand,0,0,34,0
6,6,2020-02-18,Thailand,1,0,35,0
7,7,2020-02-19,Thailand,0,0,35,0
8,8,2020-02-20,Thailand,0,0,35,0
9,9,2020-02-21,Thailand,0,0,35,0
10,10,2020-02-22,Thailand,0,0,35,0
11,11,2020-02-23,Thailand,0,0,35,0
12,12,2020-02-24,Thailand,0,0,35,0
13,13,2020-02-25,Thailand,2,0,37,0
14,14,2020-02-26,Thailand,3,0,40,0
15,15,2020-02-27,Thailand,0,0,40,0
16,16,2020-02-28,Thailand,0,0,40,0
17,17,2020-02-29,Thailand,2,0,42,0
18,18,2020-03-01,Thailand,0,1,42,1
19,19,2020-03-02,Thailand,1,0,43,1
20,20,2020-03-05,Thailand,4,0,47,1
21,21,2020-03-07,Thailand,3,0,50,1
22,22,2020-03-11,Thailand,9,0,59,1
23,23,2020-03-12,Thailand,11,0,70,1
24,24,2020-03-14,Thailand,12,0,82,1
25,25,2020-03-15,Thailand,0,0,82,1
26,26,2020-03-16,Thailand,32,0,114,1
27,27,2020-03-17,Thailand,63,0,177,1
28,28,2020-03-18,Thailand,0,0,177,1
29,29,2020-03-19,Thailand,0,0,177,1
30,30,2020-03-20,Thailand,35,0,212,1
31,31,2020-03-21,Thailand,154,0,366,1
32,32,2020-03-22,Thailand,233,0,599,1
33,33,2020-03-23,Thailand,122,0,721,1
34,34,2020-03-24,Thailand,106,3,827,4
35,35,2020-03-25,Thailand,107,0,934,4
36,36,2020-03-26,Thailand,111,0,1045,4
37,37,2020-03-27,Thailand,91,1,1136,5
38,38,2020-03-28,Thailand,0,0,1136,5
39,39,2020-03-29,Thailand,109,1,1245,6
